id,name,anchor_type,sub_type,protection_level,town,lng,lat,cmi_raw_mentions,cmi_direct_degree,cmi_freq_component,cmi_degree_component,cmi,oai,poi_count_500m,avg_rating_500m,review_total_500m,thi,mi,mi_category,entity_hit_sample,poi_hit_sample
ANC_0012,霍韬夫人墓,不可移动文物,古墓葬,省级文物保护单位,西樵镇,112.973859,22.918362,19.0,14,46.57,43.49,45.34,75.0,19,3.7,7.0,56.58,-3.59,一般耦合区,霍韬,西樵山桃花源农家乐|四峰书院遗址|大科书院|九龙岩磨崖石刻|寺边分场
ANC_0013,宝峰胜处摩崖石刻,不可移动文物,石窟寺及石刻,省级文物保护单位,西樵镇,112.980933,22.929502,12.0,3,39.87,22.26,32.83,75.0,6,4.1,7.0,51.5,-2.42,一般耦合区,宝峰|宝峰胜处|摩崖石刻|石刻,西樵山南海观音|傅氏宗祠|西樵山宝峰寺|四面佛|西樵山风景名胜区-财神庙
ANC_0027,松塘区氏宗祠,不可移动文物,古建筑,市级文物保护单位,西樵镇,112.912902,22.986593,22.0,16,48.74,45.5,47.45,50.0,8,3.775,4.0,46.88,-1.84,一般耦合区,区氏|宗祠|松塘|松塘区氏,迎宾广场|佛山市南海区福厚博物馆|区梦觉故居|区梦觉生平事迹展陈馆|玉泉祖祠
ANC_0072,烟桥何氏大宗祠,不可移动文物,古建筑,省级文物保护单位,九江镇,112.959574,22.872088,16.0,12,44.04,41.19,42.9,75.0,7,4.1,12.0,57.38,-1.57,一般耦合区,何氏大宗祠|大宗祠|宗祠|烟桥,烟南古村|烟桥古村|烟南南水村吴氏宗祠|何晃钊故居|烟桥村道与龙高路辅路交叉口
ANC_0079,朱子襄墓,不可移动文物,古墓葬,市级文物保护单位,九江镇,113.005299,22.836108,9.0,3,35.79,22.26,30.38,50.0,40,3.5,0.0,38.87,-1.32,一般耦合区,朱子,九江镇下西上基文化楼|佛山市始一书院|好万家购物广场(九江店)|伊蕾名店(好万家购物广场东南)|摩登米兰购物广场
ANC_0009,火石迳遗址,不可移动文物,古遗址,省级文物保护单位,西樵镇,112.997791,22.934179,0.0,0,0.0,0.0,0.0,75.0,7,3.7,1.0,36.33,-1.17,一般耦合区,,读书驿站(西樵樵晖新城站)|胜利纪念亭|樵阳文化室|天天文化艺术教育中心|山根社区基层综合性文化服务中心
ANC_0119,大岗民居,文化景观,,,丹灶镇,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,一般耦合区,,
ANC_0130,风水百足桥,文化景观,,,九江镇,112.98,22.86,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,一般耦合区,,
NH_0055,松塘村'出色'巡游,非遗项目,民俗,区级非物质文化遗产代表性项目,西樵镇,112.949178,22.968355,17.0,22,44.93,50.36,47.1,25.0,5,4.1,1.0,36.18,0.13,一般耦合区,松塘|松塘村,程氏大宗祠|民乐和平村文化楼|聚星文化楼|北塱文化楼|瑞箭文化用品厂
ANC_0018,傅氏宗祠,不可移动文物,近现代重要史迹及代表性建筑,市级文物保护单位,西樵镇,112.981742,22.925328,8.0,6,34.16,31.25,32.99,50.0,9,3.75,2.0,42.18,0.68,一般耦合区,宗祠,傅氏宗祠|西樵山风景名胜区-财神庙|景良亭|天海亭|石屏风
