record_id,source_file,source_type,resource_class,sub_class,level,name,era,address,town,target_geometry,lng,lat,spatial_method,spatial_confidence,matched_existing_anchor,matched_poi,dedup_status,dedup_match,centroid_town
IH_0190,不可移动文物Excel.xls,不可移动文物,古建筑,学堂书院（及其他文化教育建筑）,尚未核定公布为文物保护单位的不可移动文物,石步朴庵公书舍,清代,广东省佛山市南海区大沥镇太平社区居委会石步村石步陈大街十三巷1号,大沥镇,point,113.145463,23.118352,town_representative_point,0.38,,,new_candidate,,大沥镇
IH_0191,不可移动文物Excel.xls,不可移动文物,古建筑,坛庙祠堂,尚未核定公布为文物保护单位的不可移动文物,石步刘氏大宗祠,明代,广东省佛山市南海区大沥镇太平社区居委会石步村石步刘大街十二巷侧,大沥镇,point,113.074893,23.225188,poi_name_fuzzy,0.84,,刘氏大宗祠,new_candidate,,狮山镇
IH_0192,不可移动文物Excel.xls,不可移动文物,近现代重要史迹及代表性建筑,其他近现代代表性建筑,尚未核定公布为文物保护单位的不可移动文物,风雅队旧址,近现代,广东省佛山市南海区大沥镇沥西社区居委会风雅村村前1号,大沥镇,point,113.145463,23.118352,town_representative_point,0.38,,,new_candidate,,大沥镇
IH_0193,不可移动文物Excel.xls,不可移动文物,古建筑,坛庙祠堂,尚未核定公布为文物保护单位的不可移动文物,风雅宗圣公家庙,"明代,清代",广东省佛山市南海区大沥镇沥西社区居委会风雅村街前11号,大沥镇,point,113.103535,23.121597,poi_name_fuzzy,0.84,,宗圣公家庙,new_candidate,,大沥镇
IH_0194,不可移动文物Excel.xls,不可移动文物,古建筑,桥涵码头,尚未核定公布为文物保护单位的不可移动文物,敦根正路水步,清代,广东省佛山市南海区九江镇敦根社区居委会敦根村村口新涌旁,九江镇,point,112.959097,22.865251,town_representative_point,0.38,,,new_candidate,,九江镇
IH_0195,不可移动文物Excel.xls,不可移动文物,近现代重要史迹及代表性建筑,交通道路设施,尚未核定公布为文物保护单位的不可移动文物,风水百足桥,近现代,广东省佛山市南海区九江镇璜矶社区居委会风水村,九江镇,point,112.98,22.86,existing_anchor_name,0.98,风水百足桥,,duplicate_existing_anchor,风水百足桥,九江镇
IH_0196,不可移动文物Excel.xls,不可移动文物,古文化遗址,水利设施遗址,尚未核定公布为文物保护单位的不可移动文物,塱心大有围古伦闸遗址,清代,广东省佛山市南海区丹灶镇塱心村委会张家村排灌站旁,丹灶镇,point,112.92091,23.06365,town_representative_point,0.38,,,new_candidate,,丹灶镇
IH_0197,不可移动文物Excel.xls,不可移动文物,古建筑,坛庙祠堂,市级和县级文物保护单位,信存何公祠,清代,广东省佛山市南海区桂城街道叠北社区居委会东胜村东约,桂城街道,point,113.126349,23.065265,poi_name_exact,0.94,,信存何公祠,matched_poi_only,信存何公祠,桂城街道
IH_0198,不可移动文物Excel.xls,不可移动文物,古建筑,坛庙祠堂,尚未核定公布为文物保护单位的不可移动文物,甘蕉华光古庙,清代,广东省佛山市南海区里水镇甘蕉社区居委会南门坊2号,里水镇,point,113.138868,23.223757,town_representative_point,0.38,,,new_candidate,,里水镇
IH_0199,不可移动文物Excel.xls,不可移动文物,古建筑,寺观塔阁（及其他宗教建筑）,省级文物保护单位,云泉仙馆,清代,广东省佛山市南海区西樵镇樵园社区西樵山白云洞风景区白云峰西北麓,西樵镇,point,112.96566,22.932927,existing_anchor_name,0.98,云泉仙馆,,duplicate_existing_anchor,云泉仙馆,西樵镇
IH_0200,不可移动文物Excel.xls,不可移动文物,近现代重要史迹及代表性建筑,宗教建筑,市级和县级文物保护单位,龙母庙,近现代,广东省佛山市南海区西樵镇樵园社区西樵山蟠龙洞内,西樵镇,point,112.973519,22.939989,existing_anchor_name,0.98,龙母庙,,duplicate_existing_anchor,龙母庙,西樵镇
IH_0201,不可移动文物Excel.xls,不可移动文物,古建筑,坛庙祠堂,尚未核定公布为文物保护单位的不可移动文物,潭头李氏大宗祠,清代,广东省佛山市南海区桂城街道叠北社区居委会潭头村东约276号侧,桂城街道,point,113.015703,23.041153,poi_name_fuzzy,0.84,,李氏大宗祠,new_candidate,,狮山镇
